Running in GHA mode.
Auto-detected latest run: 2026-03-05 00:00 UTC
================================================================
Run init  : 2026-03-05 00:00 UTC (00Z)
Fcst hrs  : 0 to 72
Base URL  : https://dataserver.cptec.inpe.br/dataserver_modelos/wrf/ams_07km/brutos/2026/03/05/00/
Local dir : data/WRF_downloads/20260305
Exclude   : inv
================================================================

Fetching file list from server...
Files in window: 221
  ctl     : 74
  grib2   : 73
  grib2.idx: 74

Already on disk: 10  |  To download: 211


Attaching package: ‘progressr’

The following object is masked from ‘package:httr’:

    progress


[113/211] OK  h040 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030616.grib2.idx
[114/211] OK  h041 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030617.ctl
[115/211] OK  h041 |  204.27 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030617.grib2
[116/211] OK  h041 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030617.grib2.idx
[117/211] OK  h042 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030618.ctl
[118/211] OK  h042 |  204.75 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030618.grib2
[119/211] OK  h042 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030618.grib2.idx
[120/211] OK  h043 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030619.ctl
[121/211] OK  h043 |  204.99 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030619.grib2
[122/211] OK  h043 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030619.grib2.idx
[123/211] OK  h044 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030620.ctl
[124/211] OK  h044 |  203.54 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030620.grib2
[125/211] OK  h044 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030620.grib2.idx
[126/211] OK  h045 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030621.ctl
[127/211] OK  h045 |  204.52 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030621.grib2
[128/211] OK  h045 |    0.00 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030621.grib2.idx
[129/211] OK  h046 |    0.01 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030622.ctl
[130/211] OK  h046 |  201.46 MB | tries=1 | WRF_cpt_07KM_2026030500_2026030622.grib2
